GeneID	Rank
FBXL5	985
BTG2	986
EHD1	987
H1F0	988
PUS1	989
SDC2	990
EXOSC5	991
BCL2L2	992
RAB11FIP2	993
DNAJA3	994
C17orf53	995
DSP	996
BNIP2	997
MAP4	998
ZFPM2	999
CENPA	1000
VPS13D	1001
NDC80	1002
NABP2	1003
DIEXF	1004
MRPL3	1005
CXCL13	1006
CERS6	1007
HN1	1008
MRPL9	1009
PITPNA	1010
H2AFX	1011
RPS6KA2	1012
BTK	1013
RNH1	1014
SEPT10	1015
WDR46	1016
MGP	1017
DARS2	1018
NOL11	1019
RBM28	1020
HPRT1	1021
ST6GALNAC5	1022
TJP2	1023
COA1	1024
DAPK1	1025
SDF2L1	1026
PSMB4	1027
RPL39L	1028
VAPA	1029
CHPF	1030
MASP1	1031
SCG5	1032
KIF23	1033
NXPH3	1034
ALDH3B1	1035
CALHM2	1036
HDC	1037
VIP	1038
DTYMK	1039
MOB3B	1040
PLAGL1	1041
NELFCD	1042
NR3C1	1043
CKAP5	1044
DHRS11	1045
PPM1G	1046
STAT5B	1047
ABLIM1	1048
SPDL1	1049
SPTBN2	1050
SFTPB	1051
FAM13B	1052
ZNF692	1053
BMP5	1054
GSS	1055
ECE2	1056
CCND2	1057
SNRPC	1058
B3GALNT1	1059
TBC1D2	1060
SCN1A	1061
PC	1062
ADGRE3	1063
PHLDA2	1064
RIN3	1065
KLRF1	1066
KNOP1	1067
ART4	1068
REV3L	1069
SCEL	1070
EDNRA	1071
GPD1L	1072
NME1-NME2	1073
ABCA6	1074
RHOD	1075
CP	1076
DCTPP1	1077
AVL9	1078
ZNF239	1079
PRKCDBP	1080
CDCA4	1081
EFNB2	1082
AZI2	1083
SYNJ2	1084
CENPE	1085
SERPINB6	1086
F11	1087
SLC35B1	1088
MRPS12	1089
PDE3B	1090
ABCB6	1091
FBXO7	1092
TSFM	1093
C1QA	1094
RXRA	1095
FKBP3	1096
HEATR1	1097
SLC12A4	1098
PTGIR	1099
TINF2	1100
SLC2A5	1101
RUNX1T1	1102
MYLK	1103
RAPGEF3	1104
LPXN	1105
ACP5	1106
PSMA5	1107
EFEMP2	1108
DDX56	1109
SLC35A1	1110
CANX	1111
CITED2	1112
GAB1	1113
CFLAR	1114
MYO9A	1115
PRPF19	1116
RPA3	1117
FOLR3	1118
MEN1	1119
GEMIN6	1120
ITPKA	1121
MRPL15	1122
NAT10	1123
DRAM1	1124
CCT5	1125
TGOLN2	1126
PCCB	1127
NRGN	1128
B4GALT3	1129
SYNPO	1130
STAP2	1131
FCGRT	1132
MID1IP1	1133
TSC22D3	1134
ASNS	1135
IGF2BP3	1136
DSG2	1137
PLA2G4C	1138
SORT1	1139
PTGS1	1140
FYN	1141
WBSCR22	1142
OR7E37P	1143
CDH1	1144
TOX3	1145
KRT4	1146
DNAJC9	1147
CSF3	1148
SLC6A16	1149
GTF3C2	1150
INTS7	1151
FCER1G	1152
ADRB1	1153
STIP1	1154
EPHB2	1155
TBX5	1156
IKBKE	1157
IARS2	1158
FABP5	1159
ZNF146	1160
ADIPOR2	1161
CABYR	1162
PRMT5	1163
BLM	1164
GIMAP5	1165
MAPRE2	1166
QDPR	1167
GINS1	1168
CENPN	1169
MYO1F	1170
TSPAN9	1171
CDC25A	1172
EPCAM	1173
GSPT1	1174
NUP210	1175
DAAM2	1176
DENR	1177
ALDH1A1	1178
TMCO1	1179
MSH6	1180
LSM5	1181
HUWE1	1182
MGLL	1183
FAP	1184
LBH	1185
EDN1	1186
NCOA4	1187
WDR74	1188
HSPB3	1189
COIL	1190
AKAP12	1191
PDLIM3	1192
NUPL2	1193
ITPR1	1194
TNFAIP1	1195
TMEM183B	1196
PSMB2	1197
NDN	1198
DPT	1199
TRAK2	1200
SOX18	1201
NR4A1	1202
TRHDE	1203
ZMIZ1	1204
KAZN	1205
GIMAP6	1206
ZSCAN2	1207
NSUN5P1	1208
SLC25A13	1209
NLRP3	1210
CLIC4	1211
METTL1	1212
PIAS3	1213
MAN1C1	1214
ENC1	1215
CD44	1216
MYO7A	1217
BDH2	1218
SLC15A2	1219
ARRB2	1220
UCHL5	1221
BCAS4	1222
CUL3	1223
NONO	1224
GSTM3	1225
PPM1D	1226
SMG1P5	1227
FAM105A	1228
TNPO1	1229
CCDC92	1230
PAK6	1231
RRM1	1232
ADPRH	1233
SEC61A1	1234
NAT9	1235
BMP6	1236
SMAD7	1237
TRIOBP	1238
CKAP4	1239
LMNB2	1240
ARGLU1	1241
MAFF	1242
SNF8	1243
IFFO1	1244
ADAM8	1245
NCAPG2	1246
ZFP36L2	1247
ZDHHC13	1248
REM1	1249
SLC14A1	1250
RAB25	1251
TDP1	1252
RFTN1	1253
SLC35A2	1254
PTRH2	1255
NDEL1	1256
ADRA1A	1257
TRAK1	1258
SLC1A4	1259
PSMB3	1260
CDH19	1261
ACAA2	1262
SMARCC1	1263
POLR1C	1264
RGS13	1265
AXL	1266
ICA1	1267
PRKCQ	1268
SPI1	1269
POLR2D	1270
RNF43	1271
DHRS12	1272
CUL7	1273
DMD	1274
CXCR2	1275
SSFA2	1276
NCBP1	1277
FANCG	1278
SGK1	1279
HSPB7	1280
SYNE3	1281
CHTOP	1282
FIG4	1283
BEST1	1284
LGR4	1285
PITX1	1286
GPRIN2	1287
C2	1288
ERGIC3	1289
APOLD1	1290
PPFIBP1	1291
TM9SF3	1292
KCNN4	1293
SLC16A5	1294
SND1	1295
JUP	1296
SMARCA2	1297
MRPL13	1298
LSM12	1299
DLG3	1300
FAM189B	1301
PTPRO	1302
PSMD14	1303
PDE1C	1304
PRF1	1305
CBX4	1306
SCN2B	1307
RARS	1308
PTTG3P	1309
RAD54L	1310
TIAL1	1311
PREB	1312
SRSF5	1313
YPEL5	1314
ZYX	1315
HMBOX1	1316
ITGA10	1317
WNT7A	1318
ACTG2	1319
LYPLA2	1320
EIF4G3	1321
GMDS	1322
ORC6	1323
CSPG4	1324
DAP	1325
HDHD3	1326
LAPTM4B	1327
ISCU	1328
BIK	1329
PTPRF	1330
ARMCX1	1331
TNS3	1332
TIA1	1333
ETV1	1334
CASK	1335
DAZAP2	1336
MRPL58	1337
C12orf49	1338
RAB26	1339
CPQ	1340
DDX39A	1341
HNRNPC	1342
ILK	1343
ID1	1344
SNRPD2	1345
TFAP2C	1346
GOSR2	1347
ZDHHC14	1348
HEBP1	1349
APH1B	1350
PSMD4	1351
APEX1	1352
PRKCZ	1353
PTPRN2	1354
RAD54B	1355
AKAP7	1356
EGLN3	1357
LRRFIP1	1358
SPRY4	1359
EPB41L3	1360
ESD	1361
VEGFC	1362
GPS1	1363
GPN1	1364
SRGN	1365
KIAA0513	1366
BDH1	1367
PSMD11	1368
SLC7A5	1369
PMS2CL	1370
LY86	1371
P2RY13	1372
COA7	1373
P2RX1	1374
YIPF1	1375
P3H1	1376
DEPDC1	1377
MRPL42	1378
ATF3	1379
NKRF	1380
DOCK6	1381
TTI1	1382
STYXL1	1383
SMARCB1	1384
RTN4	1385
PPFIA1	1386
CST1	1387
CRK	1388
SLC5A3	1389
RAB14	1390
IL6ST	1391
ALPL	1392
MTHFD2	1393
COMT	1394
NFE2L3	1395
KIAA0355	1396
FGFR1OP	1397
SIX1	1398
FRAS1	1399
JUN	1400
PARPBP	1401
ARHGAP25	1402
WNT2	1403
CACYBP	1404
IPO9	1405
MMP1	1406
PAIP1	1407
NVL	1408
PTGES	1409
SPARC	1410
HBD	1411
MPP1	1412
HSD11B1	1413
ARHGEF12	1414
PMM2	1415
RNF38	1416
TSPAN32	1417
SRI	1418
FKBP11	1419
FMO3	1420
GJC2	1421
RGL1	1422
RYR2	1423
DNAJC10	1424
LRRFIP2	1425
RUFY2	1426
STRA13	1427
C10orf10	1428
NMU	1429
TIMM17B	1430
SF3B3	1431
CLDN3	1432
FOXN3	1433
RECQL5	1434
VASH1	1435
ZSCAN16	1436
INTS8	1437
ALG6	1438
CARD8	1439
NPEPPS	1440
RFX2	1441
LRPPRC	1442
RAE1	1443
BTN3A3	1444
N4BP2L2	1445
DBN1	1446
FOLR1	1447
NXF3	1448
CHPF2	1449
BUB3	1450
HPGDS	1451
ZZEF1	1452
IMP4	1453
ACTL6A	1454
DDOST	1455
PGAP1	1456
SEL1L3	1457
EPB41L5	1458
RASAL1	1459
MRPL35	1460
PCNA	1461
SNRPA1	1462
OPTN	1463
ADAM28	1464
CRELD2	1465
DIABLO	1466
LCAT	1467
DPAGT1	1468
TSPAN12	1469
PKP3	1470
NAPG	1471
SKA1	1472
SUGCT	1473
SETD3	1474
SCARA3	1475
VAMP2	1476
CORO1C	1477
NOL6	1478
C4BPA	1479
CXorf57	1480
CD47	1481
BTG1	1482
TMPO	1483
VWA1	1484
IRAK3	1485
SGCE	1486
LAMB2	1487
DTL	1488
PTGIS	1489
RARRES2	1490
RAD51	1491
SF3B4	1492
RCAN2	1493
PIK3IP1	1494
CX3CL1	1495
TTN	1496
RASSF1	1497
CTSH	1498
DPY30	1499
AIF1	1500
RORA	1501
OXLD1	1502
ARHGAP29	1503
CALCOCO2	1504
S100A8	1505
PLEKHG6	1506
LILRB2	1507
DNAJC12	1508
UTRN	1509
HDAC1	1510
GCAT	1511
FOS	1512
DOCK2	1513
PCYOX1	1514
NOL12	1515
LSM2	1516
DARS	1517
H2AFV	1518
TCF4	1519
CBFA2T3	1520
SCGB1A1	1521
SEC61G	1522
FAM134A	1523
MPP6	1524
PDZRN3	1525
WBP4	1526
DCTN5	1527
DNAJB4	1528
LIG3	1529
DYRK2	1530
CA3	1531
EPS8L1	1532
YTHDF1	1533
GSDMB	1534
COPB2	1535
RNF13	1536
RBMS2	1537
PHF11	1538
JTB	1539
DNMT3B	1540
UBE2H	1541
C1orf116	1542
METTL2A	1543
DECR2	1544
UBE2S	1545
ATP5G1	1546
CD58	1547
EXOSC4	1548
RNF10	1549
PRKCB	1550
RRAGA	1551
EGR1	1552
CRY2	1553
PSME4	1554
FRK	1555
GOT2	1556
RMI1	1557
MCTS1	1558
CLEC10A	1559
OR2A9P	1560
GOLGA3	1561
GGA2	1562
TRIM2	1563
STAT5A	1564
MAPK1	1565
MID2	1566
MRPS10	1567
ABCB1	1568
E2F2	1569
MLEC	1570
MCOLN1	1571
CD55	1572
KPNB1	1573
CCT7	1574
LILRB3	1575
CIAO1	1576
NCAPD3	1577
ELMO3	1578
GTPBP3	1579
FAM208A	1580
RANBP1	1581
RITA1	1582
PLCL1	1583
DEFA1B	1584
FAM13C	1585
ADAMDEC1	1586
SETDB1	1587
RAC3	1588
HACD1	1589
JUNB	1590
FAT4	1591
NAAA	1592
DNASE2B	1593
WAPL	1594
MT1E	1595
RBM12B	1596
HEY1	1597
DNAJC22	1598
EMC9	1599
TFRC	1600
SCRIB	1601
MTMR4	1602
CDKL5	1603
ALDH3B2	1604
P2RY6	1605
FYCO1	1606
MCL1	1607
ANXA6	1608
U2SURP	1609
CLASP2	1610
SORBS2	1611
GRB7	1612
FBXL6	1613
PSMB5	1614
PQLC1	1615
SGCD	1616
PCF11	1617
SLC39A4	1618
RRAD	1619
SUN2	1620
TUFM	1621
TFAM	1622
NR2F6	1623
MARCH6	1624
MCM3	1625
TSSC1	1626
SPINT2	1627
GPR65	1628
SERINC3	1629
DDX11	1630
CASP3	1631
MAPKAP1	1632
OLA1	1633
APBB2	1634
CLNS1A	1635
PRKD1	1636
NCAPD2	1637
PPP3CC	1638
GALC	1639
SYDE1	1640
ERCC6L	1641
RGS5	1642
RPS6KB2	1643
SH3BGRL	1644
MAN2A2	1645
ZNF212	1646
CCDC68	1647
DONSON	1648
CYCS	1649
PTPN1	1650
COPA	1651
RPGR	1652
GLRX3	1653
IL1B	1654
PRSS22	1655
POLB	1656
E2F6	1657
CASS4	1658
ACAT1	1659
DIO2	1660
ITIH3	1661
GFRA2	1662
ACSL4	1663
NEK7	1664
FLVCR2	1665
PLAC8	1666
SLC11A1	1667
NUP205	1668
RRBP1	1669
STOML2	1670
MTM1	1671
ALAS2	1672
CEP104	1673
NPR3	1674
C1QB	1675
UNC13B	1676
ZNF593	1677
R3HDM1	1678
CSE1L	1679
SLC6A8	1680
PIGC	1681
PTS	1682
IFT88	1683
NDC1	1684
CHPT1	1685
PLEKHO2	1686
MMACHC	1687
CALM3	1688
ORC1	1689
AFF1	1690
VPS72	1691
FASTK	1692
SLA	1693
CHN1	1694
KDM1A	1695
SLC35F6	1696
IFIT3	1697
PARVB	1698
IP6K1	1699
CADM1	1700
