"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Tmem38a"	-1.505	-1.862	-1.149	7.332	-8.921	8.37e-08	6.34e-07	0.132
"Psmd6"	-0.402	-0.497	-0.307	11.803	-8.921	8.38e-08	6.35e-07	0.085
"Entpd2"	1.489	1.136	1.841	13.023	8.919	8.4e-08	6.36e-07	0.063
"Bex2"	-1.4	-1.732	-1.069	14.722	-8.912	8.49e-08	6.43e-07	0.091
"Npff"	-0.905	-1.119	-0.691	10.995	-8.911	8.51e-08	6.43e-07	0.077
"Ptpn14"	1.121	0.855	1.387	6.991	8.911	8.52e-08	6.43e-07	0.32
"RGD1308147"	-0.69	-0.853	-0.526	9.844	-8.911	8.52e-08	6.43e-07	0.341
"Elavl3"	-0.923	-1.142	-0.704	13.996	-8.91	8.53e-08	6.44e-07	0.076
"Sec61a1"	1.114	0.85	1.378	7.755	8.91	8.53e-08	6.44e-07	0.105
"Wdr7"	-1.201	-1.485	-0.916	6.15	-8.908	8.55e-08	6.45e-07	0.067
"RGD1560892"	0.824	0.629	1.019	9.141	8.907	8.57e-08	6.46e-07	0.158
"Cnnm1"	-1.689	-2.089	-1.288	6.606	-8.903	8.62e-08	6.49e-07	0.178
"Ercc8"	-0.663	-0.821	-0.506	8.166	-8.903	8.62e-08	6.49e-07	0.122
"Csdc2"	-1.247	-1.542	-0.951	10.237	-8.901	8.64e-08	6.5e-07	0.077
"Spc24"	1.539	1.174	1.904	12.081	8.901	8.64e-08	6.5e-07	0.269
"Stub1"	-0.559	-0.691	-0.426	13.414	-8.902	8.64e-08	6.5e-07	0.113
"Echdc3"	1.1	0.839	1.361	6.608	8.9	8.66e-08	6.51e-07	0.098
"Rimbp2"	-1.188	-1.47	-0.906	9.667	-8.9	8.67e-08	6.51e-07	0.077
"Kirrel2"	-2.524	-3.123	-1.926	6.343	-8.899	8.68e-08	6.52e-07	0.141
"Npy1r"	-1.358	-1.68	-1.036	6.355	-8.898	8.69e-08	6.52e-07	0.179
"Sh2b2"	0.863	0.658	1.068	10.476	8.898	8.69e-08	6.52e-07	0.278
"Itpkb"	0.694	0.53	0.859	8.192	8.89	8.8e-08	6.6e-07	0.105
"Ndufs3"	-0.658	-0.814	-0.502	14.017	-8.889	8.81e-08	6.6e-07	0.279
"Nip7"	0.52	0.397	0.644	13.115	8.884	8.88e-08	6.65e-07	0.176
"Bnip3l"	-0.553	-0.685	-0.422	15.474	-8.883	8.9e-08	6.67e-07	0.247
"Kcnip4"	-2.34	-2.897	-1.784	8.251	-8.881	8.93e-08	6.68e-07	0.342
"Srrm3"	-1.481	-1.834	-1.129	8.889	-8.88	8.93e-08	6.68e-07	0.435
"Mapk11"	-0.918	-1.136	-0.699	9.872	-8.88	8.95e-08	6.68e-07	0.397
"Meis2"	-1.009	-1.249	-0.769	9.961	-8.88	8.95e-08	6.68e-07	0.405
"Ube3c"	-0.613	-0.758	-0.467	9.219	-8.879	8.95e-08	6.68e-07	0.407
"Nefl"	-1.689	-2.09	-1.287	14.034	-8.877	8.98e-08	6.7e-07	0.28
"Ndufab1"	-0.778	-0.963	-0.593	13.61	-8.875	9.02e-08	6.73e-07	0.448
"Slc4a5"	1.596	1.216	1.976	7.113	8.869	9.09e-08	6.78e-07	0.402
"Trappc2"	-1.117	-1.383	-0.851	11.726	-8.869	9.09e-08	6.78e-07	0.204
"Zcrb1"	-0.552	-0.683	-0.42	11.69	-8.867	9.13e-08	6.8e-07	0.233
