"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"LOC364806"	0.508	0.323	0.692	15.113	5.806	2.15e-05	0.000112	0.122
"Col11a2"	-0.815	-1.111	-0.518	12.073	-5.806	2.15e-05	0.000112	0.27
"RGD1563340"	0.47	0.299	0.641	14.941	5.806	2.15e-05	0.000112	0.164
"Cenpf"	1.999	1.272	2.725	5.425	5.805	2.15e-05	0.000112	0.352
"Ndufb2"	-0.356	-0.485	-0.227	15.706	-5.805	2.15e-05	0.000112	0.164
"RGD1307595"	-2.475	-3.376	-1.575	5.614	-5.804	2.16e-05	0.000112	0.215
"Glt8d1"	0.575	0.366	0.784	9.89	5.803	2.16e-05	0.000112	0.124
"Fis1"	-0.464	-0.633	-0.295	15.739	-5.803	2.16e-05	0.000112	0.134
"Ezh1"	-0.453	-0.617	-0.288	10.984	-5.803	2.17e-05	0.000112	0.148
"Sox2"	0.645	0.41	0.88	12.576	5.802	2.17e-05	0.000113	0.242
"Mapk8ip3"	-0.881	-1.202	-0.561	10.144	-5.802	2.17e-05	0.000113	0.145
"Olr1002"	-0.981	-1.338	-0.624	8.461	-5.802	2.17e-05	0.000113	0.112
"Pigf"	-0.4	-0.546	-0.254	10.031	-5.801	2.17e-05	0.000113	0.209
"Rpl15"	0.346	0.22	0.471	13.415	5.801	2.17e-05	0.000113	0.296
"Lmf2"	0.642	0.408	0.875	8.942	5.8	2.18e-05	0.000113	0.097
"Qrich2"	1.098	0.698	1.497	10.222	5.799	2.18e-05	0.000113	0.111
"Rpl29"	0.399	0.254	0.544	14.818	5.799	2.18e-05	0.000113	0.112
"Lrrc58"	0.673	0.428	0.918	8.628	5.798	2.19e-05	0.000113	0.081
"Bbc3"	0.84	0.534	1.146	12.664	5.797	2.19e-05	0.000113	0.1
"Inppl1"	1.455	0.925	1.985	8.814	5.796	2.19e-05	0.000114	0.176
"Tigd3"	-1.155	-1.576	-0.734	7.379	-5.793	2.21e-05	0.000114	0.135
"Zfp106"	-0.62	-0.846	-0.394	7.308	-5.793	2.21e-05	0.000114	0.118
"LOC364524"	0.483	0.307	0.659	15.155	5.79	2.22e-05	0.000115	0.29
"Cnr1"	-2.105	-2.872	-1.337	8.111	-5.79	2.22e-05	0.000115	0.087
"Lpcat1"	0.836	0.531	1.141	6.149	5.789	2.22e-05	0.000115	0.185
"N4bp2l2"	0.499	0.317	0.68	11.292	5.789	2.23e-05	0.000115	0.578
"Chchd10"	-0.81	-1.105	-0.514	12.497	-5.787	2.23e-05	0.000115	0.066
"Rps6kc1"	-0.47	-0.642	-0.299	11.51	-5.786	2.24e-05	0.000115	0.181
"Grm6"	-1.566	-2.137	-0.994	2.726	-5.785	2.24e-05	0.000116	0.066
"RGD1359508"	-0.527	-0.72	-0.335	9.538	-5.784	2.25e-05	0.000116	0.094
