"Gene"	"logFC"	"CI.L"	"CI.R"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"se.coef"
"Crtac1"	-1.737	-2.337	-1.137	11.649	-6.11	1.18e-05	5.63e-05	0.084
"Pld1"	0.792	0.518	1.065	10.599	6.109	1.18e-05	5.65e-05	0.107
"Ppme1"	-0.873	-1.174	-0.571	7.918	-6.108	1.19e-05	5.66e-05	0.566
"Ydjc"	-1.224	-1.647	-0.801	12.655	-6.107	1.19e-05	5.67e-05	0.171
"Colec11"	1.234	0.807	1.66	7.165	6.104	1.2e-05	5.69e-05	0.193
"Hnrnpul1"	0.744	0.487	1.002	8.293	6.104	1.2e-05	5.69e-05	0.085
"Klf13"	0.378	0.247	0.508	12.92	6.104	1.2e-05	5.7e-05	0.504
"Ttc12"	0.619	0.405	0.834	11.769	6.101	1.2e-05	5.72e-05	0.097
"Tbx1"	2.157	1.411	2.904	2.713	6.101	1.2e-05	5.72e-05	0.266
"Cstf3"	-0.785	-1.056	-0.513	7.747	-6.1	1.21e-05	5.73e-05	0.146
"Egfl8"	2.572	1.682	3.462	12.805	6.099	1.21e-05	5.74e-05	0.124
"Ipo5"	0.579	0.379	0.78	9.713	6.098	1.21e-05	5.75e-05	0.147
"Cblb"	0.964	0.63	1.298	10.096	6.097	1.21e-05	5.75e-05	0.609
"Lrrc7"	-1.89	-2.544	-1.235	5.535	-6.096	1.21e-05	5.76e-05	0.19
"Lrtm2"	-1.355	-1.824	-0.886	10.24	-6.094	1.22e-05	5.79e-05	0.075
"Akap7"	-0.512	-0.69	-0.335	7.977	-6.091	1.23e-05	5.82e-05	0.222
"Slc1a1"	-0.76	-1.023	-0.496	9.206	-6.091	1.23e-05	5.82e-05	0.297
"Il1rapl1"	-0.932	-1.255	-0.609	4.291	-6.09	1.23e-05	5.82e-05	0.125
"Stub1"	-0.44	-0.592	-0.287	13.414	-6.09	1.23e-05	5.82e-05	0.117
"Med11"	0.455	0.298	0.613	11.306	6.09	1.23e-05	5.83e-05	0.127
"Arhgap29"	0.947	0.619	1.276	6.633	6.089	1.23e-05	5.83e-05	0.092
"Txndc11"	1.061	0.693	1.428	10.048	6.089	1.23e-05	5.83e-05	0.138
"Myef2"	-0.621	-0.836	-0.406	8.789	-6.089	1.23e-05	5.83e-05	0.089
"Gria1"	-1.646	-2.217	-1.075	8.044	-6.089	1.23e-05	5.83e-05	0.123
"LOC306079"	0.503	0.329	0.678	13.201	6.085	1.24e-05	5.87e-05	0.078
"Isoc1"	-0.89	-1.199	-0.581	9.449	-6.084	1.24e-05	5.88e-05	0.284
"Cenpw"	1.458	0.952	1.964	8.557	6.084	1.24e-05	5.88e-05	0.443
"Rph3al"	1.024	0.669	1.38	10.458	6.083	1.25e-05	5.89e-05	0.064
"Slc6a17"	-2.016	-2.715	-1.316	9.916	-6.083	1.25e-05	5.89e-05	0.065
"Ak2"	-0.556	-0.748	-0.363	10.393	-6.082	1.25e-05	5.89e-05	0.154
"Ephb1"	-0.653	-0.88	-0.426	10.176	-6.082	1.25e-05	5.89e-05	0.311
"Ccdc65"	-0.649	-0.875	-0.424	10.046	-6.081	1.25e-05	5.9e-05	0.227
"Apoa1"	-0.682	-0.918	-0.445	5.468	-6.08	1.25e-05	5.91e-05	0.099
"Fbxo28"	-0.442	-0.595	-0.288	9.658	-6.078	1.26e-05	5.94e-05	0.262
"P2ry14"	0.947	0.618	1.276	7.498	6.078	1.26e-05	5.94e-05	0.231
"Rgl2"	0.656	0.428	0.884	12.152	6.075	1.26e-05	5.96e-05	0.1
"Snai3"	1.557	1.016	2.097	4.939	6.075	1.27e-05	5.97e-05	0.18
"Zfp367"	-0.672	-0.906	-0.439	7.772	-6.074	1.27e-05	5.97e-05	0.256
"Gad2"	-2.143	-2.888	-1.398	7.531	-6.072	1.27e-05	5.99e-05	0.212
"Capn3"	1.365	0.89	1.839	7.477	6.071	1.27e-05	6e-05	0.116
"Pithd1"	-0.579	-0.78	-0.378	11.623	-6.069	1.28e-05	6.03e-05	0.078
"Ttc6"	-2.242	-3.022	-1.462	5.162	-6.068	1.28e-05	6.04e-05	0.103
"Angptl2"	1.287	0.839	1.735	9.373	6.068	1.28e-05	6.04e-05	0.458
"Nck1"	0.692	0.451	0.933	12.115	6.063	1.29e-05	6.09e-05	0.117
"Pld4"	1.322	0.862	1.783	10.503	6.063	1.3e-05	6.09e-05	0.147
"Ormdl3"	0.779	0.508	1.051	8.12	6.061	1.3e-05	6.11e-05	0.286
"Rab3a"	-1.809	-2.44	-1.179	10.251	-6.061	1.3e-05	6.11e-05	0.057
"Nub1"	-0.487	-0.657	-0.318	10.089	-6.06	1.3e-05	6.12e-05	0.162
"Tulp3"	1.502	0.979	2.026	6.337	6.059	1.3e-05	6.13e-05	0.079
"Npff"	-0.707	-0.954	-0.461	10.995	-6.059	1.31e-05	6.13e-05	0.164
"Tpm4"	1.085	0.707	1.463	11.34	6.058	1.31e-05	6.14e-05	0.143
"Actl6b"	-1.605	-2.164	-1.046	8.476	-6.057	1.31e-05	6.14e-05	0.077
"Gpld1"	-1.699	-2.291	-1.107	12.691	-6.057	1.31e-05	6.15e-05	0.11
"Piga"	-1.14	-1.538	-0.743	10.034	-6.057	1.31e-05	6.15e-05	0.073
"Aard"	-1.5	-2.023	-0.977	10.197	-6.054	1.32e-05	6.18e-05	0.275
"Zc3h15"	-0.351	-0.474	-0.229	12.39	-6.053	1.32e-05	6.2e-05	0.079
"Olr1744"	-0.939	-1.266	-0.611	7.213	-6.052	1.32e-05	6.2e-05	0.148
